参数分类,参数名称,小齿轮(计算),大齿轮(计算),小齿轮(测量),大齿轮(测量),单位,备注
,,,,,,,
基本参数,齿数,6,72,6,72,,"z1=6, z2=72"
基本参数,大端端面模数,-,-,0.909,-,mm,met=0.909
基本参数,中点法向模数,0.7897,-,-,-,mm,mmn=0.7897
基本参数,齿宽,9.839,8,12.024,8,mm,"b1=9.839, b2=8"
基本参数,平均压力角,20,20,20,20,°,"alphaD=16.35, alphaC=23.65"
基本参数,驱动面压力角,16.35,16.35,-,-,°,
基本参数,非驱动面压力角,23.65,23.65,-,-,°,
基本参数,节圆直径(中点),4.7,56.9,/,-,mm,
基本参数,外径,5.372,37.258,11.469,65.52,mm,
基本参数,中点螺旋角,45.50,8.96,45.4625,5.908,°,betam1=45.50
基本参数,螺旋方向,左旋,右旋,左旋,右旋,,
基本参数,偏置距,18.5,-,18.5,-,mm,a=18.5
基本参数,传动比,12.0,-,-,-,,u=z2/z1=12.0
,,,,,,,
齿高参数,测量齿顶高(大端),-,-,1.658,0.241,mm,
齿高参数,测量齿根高(大端),-,-,0.532,1.889,mm,
齿高参数,测量全齿高(大端),-,-,2.191,2.13,mm,
齿高参数,设计齿顶高(中点),1.500,0.079,-,-,mm,ham1=1.500
齿高参数,设计齿根高(中点),0.237,1.737,-,-,mm,hfm1=0.237
齿高参数,设计全齿高(中点),1.737,1.816,-,-,mm,hm=1.737
齿高参数,计算齿顶高系数,"1.2(小轮), 0.8(大轮)","1.2, 0.8",-,-,,"khap1=1.2, khap2=0.8"
齿高参数,计算顶隙系数,"-0.2(小轮), 0.7(大轮)","-0.2, 0.7",-,-,,"c*=-0.2, 0.7"
齿高参数,设计齿根高系数,"1.0(小轮), 1.5(大轮)","1.0, 1.5",-,-,,"khfp1=1.0, khfp2=1.5"
齿高参数,变位系数,0.7,-0.7,-,-,,xhm1=0.7
,,,,,,,
锥角参数,顶锥角,9.21,82.03,10.808,82.662,°,
锥角参数,节锥角,6.80,81.56,6.652,81.399,°,delta1=6.80
锥角参数,根锥角,6.80,81.56,5.668,76.081,°,
锥角参数,基锥角,6.17,78.14,-,-,°,
锥角参数,齿顶角,2.41,0.47,-,-,°,
锥角参数,齿根角,0.00,0.00,-,-,°,
,,,,,,,
锥距参数,外锥距,33.415,33.082,-,-,mm,
锥距参数,中点锥距,28.554,29.093,-,-,mm,
锥距参数,内锥距,23.576,25.082,-,-,mm,
,,,,,,,
齿厚参数,中点法向弦齿厚,1.677,0.672,-,-,mm,
齿厚参数,中点弦齿顶高,1.5571,0.0790,-,-,mm,
齿厚参数,大端法向侧隙,0.13,-,0.102~0.152,-,mm,jen=0.13
,,,,,,,
刀具参数,刀具半径(理论),22.25,22.25,22.25,-,mm,rc0=22.25
刀具参数,刀刃角,16.4,16.4,-,-,°,
