参数分类,参数名称,小齿轮(计算),大齿轮(计算),小齿轮(测量),大齿轮(测量),单位,备注
,,,,,,,
基本参数,齿数,5,75,5,75,,
基本参数,大端端面模数,-,-,2,-,mm,
基本参数,中点法向模数,1.6398,-,-,-,mm,
基本参数,齿宽,13.364,11,13.979,11,mm,
基本参数,平均压力角,20,20,20,-,°,
基本参数,驱动面压力角,18.47,-,-,-,°,
基本参数,非驱动面压力角,21.53,-,-,-,°,
基本参数,中点分度圆直径,12.75,139.1,/,-,mm,dm=2*Rm*sin(δ)
基本参数,外径(齿顶圆),19.794,150.072,19.846,150.06,mm,dae=de+2*hae*cos(δ)
基本参数,中点螺旋角,50,27.85,50°,27°51′7″,°,
基本参数,螺旋方向,左旋,右旋,左旋,右旋,,
基本参数,偏置距,27,-,27,-,mm,
基本参数,传动比,15,-,-,-,,
,,,,,,,
齿高参数,测量齿顶高(大端),-,-,2.868,0.303,mm,
齿高参数,测量齿根高(大端),-,-,0.798,3.322,mm,
齿高参数,测量全齿高(大端),-,-,3.666,3.625,mm,
齿高参数,设计齿顶高(中点),2.919,0.361,-,-,mm,
齿高参数,设计齿根高(中点),0.771,3.329,-,-,mm,
齿高参数,设计全齿高(中点),3.689,3.689,-,-,mm,
齿高参数,齿顶高系数,"1.0(小轮), 1.0(大轮)",,-,-,,
齿高参数,顶隙系数,"0.25(小轮), 0.25(大轮)",,-,-,,
齿高参数,齿根高系数,"1.25(小轮), 1.25(大轮)",,-,-,,
齿高参数,变位系数,0.78,-0.78,-,-,,
,,,,,,,
锥角参数,顶锥角,7.78,84.93,7.99,84.82,°,
锥角参数,节锥角,5.28,84.3,5.27,84.289,°,
锥角参数,根锥角,4.68,81.57,4.367,81.667,°,
锥角参数,齿顶角,2.5,0.63,-,-,°,
锥角参数,齿根角,0.61,2.73,-,-,°,
,,,,,,,
锥距参数,外锥距,75.948,75.373,-,-,mm,
锥距参数,中点锥距,69.287,69.894,-,-,mm,
锥距参数,内锥距,62.584,64.373,-,-,mm,
,,,,,,,
齿厚参数,中点法向弦齿厚,3.641,1.365,-,-,mm,
齿厚参数,大端法向侧隙,0.13,-,0.102~0.178,-,mm,
,,,,,,,
刀具参数,刀具半径,57.15,57.15,57.15,-,mm,
刀具参数,刀刃角,18.5,18.5,-,-,°,
